Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy,Predicted buy
2022-03-02,152.960007,155.080002,152.600006,153.789993,6111300,-1.3436067326532566,-0.8450800098539066,39.22076510133107,3.6364287857142847,239535800,-0.083159355196125,True,True
2022-03-03,153.770004,155.860001,153.770004,154.360001,7451200,-1.3913357658833547,-0.9543311610597964,44.40017098428561,3.5749991428571417,246987000,-0.1425832294098463,True,False
2022-03-04,153.119995,155.350006,152.550003,155.139999,8639100,-1.3506525666661275,-1.0335954421810627,47.69909329397037,3.560713642857142,255626100,-0.1311988251811621,False,True
2022-03-07,154.490005,154.520004,151.139999,152.839996,8374500,-1.4868622360353072,-1.1242488009519116,42.73470996228058,3.582142428571428,247251600,-0.0801830453683098,False,True
2022-03-08,152.179993,152.949997,146.580002,146.789993,9517200,-2.0592562364124376,-1.3112502880440169,34.71500923041472,3.807855928571428,237734400,-0.1132500734452372,True,True
2022-03-09,148.830002,150.470001,147.809998,148.770004,7044100,-2.3262961713357413,-1.5142594647023615,36.25002689729497,3.891428285714284,244778500,-0.1049447096683698,False,True
2022-03-10,147.800003,148.279999,143.940002,144.940002,9221000,-2.81453222096124,-1.7743140159541375,29.11286441336655,4.019999928571427,235557500,-0.1089152954333223,False,False
2022-03-11,145.399994,146.160004,143.029999,143.220001,7086100,-3.3021869581782823,-2.079888604398967,27.6167788024472,4.083572357142854,228471400,-0.1193718903394624,True,False
2022-03-14,144.449997,146.039993,143.350006,145.050003,7964600,-3.500637809750856,-2.364038445469345,32.65089329919327,3.98357171428571,236436000,-0.0781379211102458,True,False
2022-03-15,147.009995,150.539993,146.889999,150.270004,9868400,-3.199815601612528,-2.531193876697982,42.952693175805344,4.161428142857139,246304400,-0.0745050374932604,False,False
2022-03-16,150.630005,151.789993,148.039993,149.759995,6908900,-2.9683480299758003,-2.6186247073535456,47.27372236406438,4.042142571428569,239395500,-0.0555731136186782,True,False
2022-03-17,149.990005,150.470001,148.5,150.229996,6003800,-2.7156785076965946,-2.638035467422156,36.94163956285547,3.669999285714283,245399300,-0.0509484308191718,False,False
2022-03-18,150.869995,150.869995,148.240005,150.149994,15570300,-2.493152078472747,-2.609058789632274,39.89437056015102,3.542141571428569,229829000,-0.0367117899524181,True,False
2022-03-21,150.440002,151.419998,149.240005,150.720001,6937500,-2.2449253766196198,-2.5362321070297438,45.09285187598971,3.444283714285713,236766500,-0.0206748325398174,True,False
2022-03-22,153.429993,153.600006,150.520004,151.880005,7292100,-1.9323266401065664,-2.415451013645108,46.47213828772845,3.487141285714285,244058600,-0.0065816451879448,False,True
2022-03-23,152.199997,153.009995,150.690002,150.820007,5531900,-1.749950528706222,-2.282350916657331,43.57766943896528,3.503569571428571,238526700,-0.0074676335102591,True,True
2022-03-24,150.889999,151.559998,150.160004,151.080002,4203100,-1.5663804638916474,-2.139156826104194,42.4926199255852,3.403568928571429,242729800,0.0462847665617389,True,False
2022-03-25,151.630005,153.919998,151.509995,152.830002,5047700,-1.265106134320206,-1.9643466877473967,49.98113630347651,3.3207115,247777500,0.0053924778447996,True,True
2022-03-28,153.639999,153.899994,152.630005,153.880005,4234000,-0.9308869059172764,-1.7576547313813728,66.49604495776552,2.956425357142856,252011500,0.0195603466977026,True,True
2022-03-29,155.369995,156.470001,154.020004,155.460007,5643400,-0.5323857907193599,-1.5126009432489702,65.86058424676267,2.878567357142856,257654900,0.0470405839084813,False,True
2022-03-30,152.5,154.429993,151.940002,154.389999,5779300,-0.2994595062683345,-1.2699726558528432,75.7773594842955,2.7849961428571413,251875600,0.0865215264453532,False,False
2022-03-31,154.100006,154.339996,152.399994,152.800003,7538600,-0.2403920468691751,-1.0640565340561097,76.31864632296171,2.7035675714285707,244337000,0.0784822309951599,True,False
2022-04-01,153.520004,155.460007,152.059998,155.089996,5742600,-0.0086971080593798,-0.8529846488567638,76.90241901682953,2.744997357142854,250079600,0.0604547450142049,False,False
2022-04-04,153.809998,154.350006,151.259995,154.080002,5992000,0.092360056057231,-0.6639157078739648,63.18337313491505,2.6264267142857114,244087600,0.0956637843298864,True,True
2022-04-05,153.610001,157.369995,153.539993,154.619995,7653000,0.2135597253103469,-0.4884206212371024,66.78177259164983,2.632141142857139,251740600,0.1362344747138287,True,False
2022-04-06,154.419998,157.289993,153.940002,156.830002,8884700,0.4823798567729227,-0.2942605256350974,70.34526876137252,2.7307118571428544,260625300,0.1932117672558441,True,False
2022-04-07,157.869995,159.389999,156.970001,158.860001,6889700,0.8494339557048818,-0.0655216293671015,73.96809983313706,2.7257123571428536,267515000,0.2592337682296324,True,False
2022-04-08,159.699997,160.529999,158.919998,160.100006,6045400,1.226249572182013,0.1928326109427213,74.89386012110302,2.6892841428571392,273560400,0.325874802137911,False,True
2022-04-11,159.949997,161.210007,158.630005,159.490005,6158400,1.4588400799953547,0.446034104753248,70.8037247032448,2.6535698571428514,267402000,0.300017090767162,False,False
2022-04-12,159.309998,160.630005,158.699997,159.009995,7221500,1.5861527561454238,0.6740578350316833,73.1224879313988,2.62571378571428,260180500,0.2074962587857693,True,False
2022-04-13,159.080002,160.410004,158.710007,159.460007,5247700,1.7037217331160832,0.8799906146485632,73.40780511846268,2.647142571428564,265428200,0.2097299080939793,False,True
2022-04-14,159.979996,160.300003,158.449997,158.570007,7806500,1.705421396177229,1.0450767709542963,66.84271494234488,2.5764289999999943,257621700,0.1232380221123215,False,True
2022-04-18,158.479996,158.979996,156.529999,157.059998,6034500,1.5668614809553103,1.1494337129544991,59.08567922944585,2.6607152857142813,251587200,0.0494114380763892,True,True
2022-04-19,156.770004,160.029999,156.300003,159.410004,7897000,1.6279120376224228,1.245129377888084,60.81004341918815,2.7421438571428536,259484200,0.0710295030975272,True,True
2022-04-20,160.5,164.479996,160.0,163.649994,10196100,1.995424786719184,1.395188459654304,71.59512248475578,2.852857214285712,269680300,0.1254748161167766,False,False
2022-04-21,163.820007,164.899994,162.429993,162.610001,9365700,2.177659837587356,1.5516827352409144,73.4801157605846,2.8871426428571403,260314600,0.0987515048947138,False,False
2022-04-22,163.240005,163.520004,160.910004,161.25,9394600,2.1871298422551604,1.6787721566437637,65.43085628170712,2.8307134285714284,250920000,0.0354777708104236,True,False
2022-04-25,161.699997,163.289993,159.800003,162.550003,6986800,2.2733287479948387,1.797683474913979,70.91355276577633,2.8064269285714283,257906800,0.0601623189207376,False,True
2022-04-26,162.679993,163.639999,159.75,159.789993,7769500,2.094784884993232,1.8571037569298297,61.50419985789088,2.8107124285714287,250137300,-0.0224956607790208,False,True
2022-04-27,160.210007,161.449997,159.110001,159.360001,6754900,1.896726543496328,1.8650283142431292,56.114053188223856,2.7385699285714264,243382400,-0.0656787916887104,True,True
2022-04-28,160.539993,163.710007,159.270004,163.410004,9306800,2.0430146743064768,1.900625586255799,60.017604552348764,2.87285607142857,252689200,-0.0476304347222348,False,True
2022-04-29,162.470001,162.949997,160.199997,160.550003,10637000,1.9061974357753115,1.9017399561597017,50.9247768734861,2.9828567142857128,242052200,-0.0696849562181411,False,True
2022-05-02,161.600006,162.0,156.190002,158.380005,10351600,1.604176141361762,1.842227193200114,47.856317497995775,3.213570714285715,231700600,-0.1125943435810253,False,False
2022-05-03,158.220001,158.990005,155.009995,156.210007,10344000,1.176163307945302,1.7090144161491518,44.92388256772581,3.3599994285714274,221356600,-0.1657875218701512,True,True
2022-05-04,155.830002,157.550003,155.149994,157.360001,7771000,0.9191594605911176,1.551043425037545,46.28711784208757,3.4100002857142857,229127600,-0.1043391214362287,False,True
2022-05-05,156.300003,157.289993,153.139999,154.460007,8217100,0.4759898655348138,1.336032713136999,43.21558090870408,3.579285714285715,220910500,-0.163593901270131,True,True
2022-05-06,154.770004,156.240005,153.869995,156.0,7304800,0.2462012783478542,1.11806642617917,48.25198080631725,3.573572357142859,228215300,-0.1510243324791434,False,True
2022-05-09,153.960007,156.759995,152.75,155.610001,8540800,0.0322507410549519,0.9009032891543264,43.30041051878447,3.593572285714288,219674500,-0.1436594135868189,False,True
2022-05-10,155.550003,156.619995,153.940002,154.789993,7447400,-0.2011555971780012,0.6804915118878611,32.23735842364317,3.422858071428572,212227100,-0.146608225000132,False,True
