Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy
2021-08-26,50.169998,54.25,49.75,51.305,24954400,0.8646685238683958,-0.8586226286962713,76.3326406017286,3.6708926428571442,5474079200,-0.09289665952998642,False
2021-08-27,51.924999,53.25,50.005001,51.237499,12923200,1.336060763211627,-0.41968595031469164,73.7121148301199,3.6517853571428587,5461156000,-0.08759206658090299,True
2021-08-30,51.25,54.547501,50.755001,52.299999,13238400,1.7749172383299836,0.019234687414243445,76.5147445054673,3.7164285000000015,5474394400,-0.08167037897653935,True
2021-08-31,53.174999,55.575001,52.865002,54.560001,14298800,2.278808741760834,0.4711494982835615,78.76911026486042,3.8712499285714297,5488693200,-0.04850531187450786,False
2021-09-01,56.0,57.860001,52.005001,53.2425,17815200,2.5425264069358775,0.8854248800140248,74.09557699195909,4.165357071428573,5470878000,-0.056203918428262147,True
2021-09-02,53.465,53.700001,51.575001,53.380001,7408000,2.7311368921079477,1.2545672824328093,74.18895478065569,4.207499928571429,5478286000,-0.0491182520684141,False
2021-09-03,53.012501,54.067501,49.709999,50.6875,10634400,2.632998168044942,1.530253459555236,66.91061037515655,4.3273215,5467651600,-0.05924074809203295,False
2021-09-07,51.5625,52.474998,49.025002,49.75,9985200,2.45131685240532,1.7144661381252528,65.00210867462732,4.424107142857143,5457666400,-0.09645953155733013,False
2021-09-08,50.465,51.720001,47.669998,49.700001,20694400,2.2770501822898908,1.8269829469581804,68.66338179226399,4.555357214285714,5436972000,-0.08336549831388808,True
2021-09-09,45.022499,50.5,44.5,49.794998,30046000,2.1221452848229347,1.8860154145311314,71.41006344780703,4.855178571428572,5467018000,-0.013535311210053193,False
2021-09-10,49.602501,50.540001,47.5,47.602501,12170400,1.8016970114818847,1.869151733921282,64.08329662893954,4.943928571428571,5454847600,-0.05605371158558082,True
2021-09-13,48.4375,52.220001,47.875,50.849998,17336400,1.7891609795311325,1.8531535830432522,66.33856479776867,5.131071642857143,5472184000,-0.04269346156067499,False
2021-09-14,50.162498,51.154999,48.75,49.810001,8566400,1.6759872795180897,1.8177203223382197,42.78815371052178,4.229464428571428,5463617600,-0.04336587780825874,True
2021-09-15,49.25,51.217499,48.4375,51.130001,9241600,1.6735180013936954,1.788879858149315,53.417553240014946,3.820892928571428,5472859200,-0.011377245525290293,True
2021-09-16,50.5825,54.137501,50.287498,51.592499,12232800,1.6894063789156846,1.768985162302589,50.85147091149048,3.7744645714285707,5485092000,-0.007337289858622213,False
2021-09-17,52.005001,53.122501,50.195,51.2425,15783600,1.654681895448114,1.7461245089316941,50.01456744306681,3.751786142857142,5469308400,-0.01415432579911741,False
2021-09-20,50.0,50.712502,46.137501,48.049999,15767200,1.3539468853758265,1.6676889842205207,38.98677843315804,3.845536071428571,5453541200,-0.030384266085009503,False
2021-09-21,49.84,49.84,46.5,47.487499,10535200,1.0580268987337078,1.5457565671231583,29.90479663915667,3.8501787857142853,5443006000,-0.04694692164631017,True
2021-09-22,47.41,48.375,46.572498,47.535,9026400,0.8179127223191287,1.4001877981623525,32.5218061712861,3.5607146428571426,5452032400,-0.1441791614773368,True
2021-09-23,48.0825,48.9375,47.650002,47.810001,6729200,0.6424055388339767,1.2486313462966774,33.08532019579971,3.5091075,5458761600,-0.07324936339280222,False
